name,district,office,denounced,unendorsed,source
Jason Chaffetz,Utah 3,House,Yes,Yes,http://www.politico.com/story/2016/10/rep-chaffetz-withdraws-his-endorsement-of-trump-229335
John McCain,Arizona,Senate,Yes,Yes,https://www.washingtonpost.com/news/the-fix/wp/2016/10/07/the-gops-brutal-responses-to-the-new-trump-video-broken-down/
Kelly Ayotte,New Hampshire,Senate,Yes,Yes,https://www.washingtonpost.com/news/the-fix/wp/2016/10/07/the-gops-brutal-responses-to-the-new-trump-video-broken-down/
Joe Heck,Nevada,Senate,Yes,Yes,https://www.washingtonpost.com/news/the-fix/wp/2016/10/07/the-gops-brutal-responses-to-the-new-trump-video-broken-down/
John Thune,South Dakota,Senate,Yes,Yes,https://www.washingtonpost.com/news/the-fix/wp/2016/10/07/the-gops-brutal-responses-to-the-new-trump-video-broken-down/
Mike Lee,Utah,Senate,Yes,Yes,https://www.washingtonpost.com/news/the-fix/wp/2016/10/07/the-gops-brutal-responses-to-the-new-trump-video-broken-down/
Gary Herbert,Utah,Governor,Yes,Yes,https://www.washingtonpost.com/news/the-fix/wp/2016/10/07/the-gops-brutal-responses-to-the-new-trump-video-broken-down/
Bradley Byrne,Alabama 1,House,Yes,Yes,https://www.washingtonpost.com/news/the-fix/wp/2016/10/07/the-gops-brutal-responses-to-the-new-trump-video-broken-down/
Martha Roby,Alabama 2,House,Yes,Yes,https://www.washingtonpost.com/news/the-fix/wp/2016/10/07/the-gops-brutal-responses-to-the-new-trump-video-broken-down/
Mike Coffman,Colorado 6,House,Yes,Yes,https://www.washingtonpost.com/news/the-fix/wp/2016/10/07/the-gops-brutal-responses-to-the-new-trump-video-broken-down/
Rodney Davis,Illinois 13,House,Yes,Yes,https://www.washingtonpost.com/news/the-fix/wp/2016/10/07/the-gops-brutal-responses-to-the-new-trump-video-broken-down/
Fred Upton,Michigan 6,House,Yes,Yes,https://www.washingtonpost.com/news/the-fix/wp/2016/10/07/the-gops-brutal-responses-to-the-new-trump-video-broken-down/
Ann Wagner,Mississippi 4,House,Yes,Yes,https://www.washingtonpost.com/news/the-fix/wp/2016/10/07/the-gops-brutal-responses-to-the-new-trump-video-broken-down/
Cresent Hardy,Nevada 4,House,Yes,Yes,https://www.washingtonpost.com/news/the-fix/wp/2016/10/07/the-gops-brutal-responses-to-the-new-trump-video-broken-down/
Scott Garrett,New Jersey 5,House,Yes,Yes,https://www.washingtonpost.com/news/the-fix/wp/2016/10/07/the-gops-brutal-responses-to-the-new-trump-video-broken-down/
